movie_id,title,release_date,genre_ids,original_language,cast_names,watch_providers,rating_average,vote_count
950396,The Gorge,2025-02-13,"['Romance', 'Science Fiction', 'Thriller']",en,"Miles Teller, James Marlowe, Oliver Trevena, Julianna Kurokawa, Anya Taylor-Joy, Kobna Holdbrook-Smith, Sigourney Weaver, Ruta Gedmintas, William Houston, Sope Dirisu","Canal+, Apple TV+, Apple TV Plus Amazon Channel",7.78,1798
1126166,Flight Risk,2025-01-22,"['Action', 'Thriller', 'Crime']",en,"Maaz Ali, Georgi S. Georgiev, Atanas Srebrev, Leah Remini, Milko Kadikov, Senor Pablo, Mark Wahlberg, Monib Abhat, Mark 'Cowboy' Schotz, Topher Grace, Savanah Joeckel, Paul Ben-Victor, Michelle Dockery, Eilise Patton","Amazon Video, Google Play Movies, Fandango At Home, Spectrum On Demand, Plex, YouTube, Cineplex, Apple TV",6.073,424
1241982,Moana 2,2024-11-21,"['Animation', 'Adventure', 'Family', 'Comedy']",en,"Nicole Scherzinger, Bryson Chun, Hualālai Chung, Jemaine Clement, Ata Maivia Johnson, Alan Tudyk, Noemi Josefina Flores, Awhimai Fraser, Tiana Johnson, Auliʻi Cravalho, Rose Matafeo, Rachel House, David Fane, Dwayne Johnson, Khaleesi Lambert-Tsuda, Temuera Morrison, Jasmine Johnson, Gerald Ramsey, Tofiga Fepulea'i, Setarosa Tuitasi-Ledoux, Bentley Pupuhi-Fernandez","Sky Store, Fandango At Home, blue TV, Pathé Thuis, Rakuten TV, Videoload, Viaplay, Fetch TV, Cineplex, TV 2 Play, Amazon Video, Microsoft Store, MagentaTV, Timvision, maxdome Store, SF Anytime, Google Play Movies, YouTube, Apple TV, Freenet meinVOD",7.166,1809
939243,Sonic the Hedgehog 3,2024-12-19,"['Action', 'Science Fiction', 'Comedy', 'Family']",en,"Sofia Pernas, Barry Calvert, Jim Carrey, Adam Pally, Reggie Banigo, Bola Okun, Brett Tutor, Brian Murphy, Brendan Murphy, Jorma Taccone, Natasha Rothwell, James Marsden, Tika Sumpter, Keanu Reeves, Toru Nakahara, Idris Elba, Krysten Ritter, Shemar Moore, Colleen O'Shaughnessey, Cristo Fernández, Ben Schwartz, James Wolk, Richard Sutton, Tom Butler, Lee Majdoub, Alyla Browne, Will Austin","Sky Store, Paramount Plus Basic with Ads, U-NEXT, Paramount+ Roku Premium Channel, Fandango At Home, Claro video, Paramount Plus, blue TV, Pathé Thuis, Plex, Claro tv+, Rakuten TV, Paramount Plus Premium, Videoload, FlixFling, Viaplay, UPC TV, Fetch TV, Cineplex, TV 2 Play, Amazon Video, Microsoft Store, MagentaTV, Timvision, Club Illico, maxdome Store, Paramount+ Amazon Channel, SF Anytime, Google Play Movies, YouTube, Apple TV, Freenet meinVOD",7.7,2121
927342,Amaran,2024-10-31,"['Action', 'Drama', 'Adventure', 'War']",ta,"Hanun Bawra, Sivakarthikeyan, Lallu Prasath, Shyamaprasad, Ajaey Naga Raaman, Prayas Mann, Shreekumar, Geetha Kailasam, Gaurav Venkatesh, Sugamya Shankar, Umair Lateef, Rahul Bose, Vikas Bangar, Vaibhav Murugesan, Shyam Mohan, Anbu Thasan, Bhuvan Arora, Mir Salman, Shrysh Zutshi, Sai Pallavi, Abhinav Raj, Rohman Shawl, Paul T Baby, Rohan Surya Kanuma Reddy","Netflix, Netflix basic with Ads",7.468,185
1064213,Anora,2024-10-14,"['Drama', 'Comedy', 'Romance']",en,"Ivy Wolk, Charlton Lamar, Michael Sergio, Ross Brodar, Darya Ekamasova, Vache Tovmasyan, Mark Eydelshteyn, Emily Weider, Nazar Khamis, Lindsey Normington, Zoë Vnak, Ella Rubin, Aleksey Serebryakov, Brittney Rodriguez, Mariana Orozco Arango, Irina Finley, Anton Bitter, Karren Karagulian, Mickey O'Hagan, Sophia Carnabuci, Maria Tichinskaya, Charles Jang, Masha Zhak, Yura Borisov, Morgan Charlton, Luna Sofía Miranda, Vincent Radwinsky, Mikey Madison, Paul Weissman, Sebastian Conelli, Artyom Trubnikov, Vlad Mamai, Lana Svidonovich","KPN, Sky Store, Fandango At Home, blue TV, Zee5, FILMO, Pathé Thuis, Plex, Universcine, VIVA by videofutur, Rakuten TV, meJane, Videoload, Premier, Viaplay, UPC TV, Cineplex, TV 2 Play, Amazon Video, Microsoft Store, MagentaTV, Premiery Canal+, Spectrum On Demand, maxdome Store, Magenta TV, Premiere Max, Mediaset Infinity, Filmin Plus, Movistar Plus+ Ficción Total , SF Anytime, Catchplay, Player, Google Play Movies, YouTube, Apple TV, Freenet meinVOD",7.1,1581
426889,Le Clitoris,2016-06-18,"['Animation', 'Documentary']",fr,Lori Malépart-Traversy,,6.959,37
762509,Mufasa: The Lion King,2024-12-18,"['Adventure', 'Family', 'Animation']",en,"Brielle Rankins, Billy Eichner, Preston Nyman, Derrick L. McMillon, Maestro Harrell, Thandiwe Newton, David S. Lee, Donald Glover, Folake Olowofoyeku, Joanna Jones, Lennie James, Abdul Salis, Anika Noni Rose, Dominique Jennings, Kagiso Lediga, Braelyn Rankins, James Earl Jones, John Kani, Keith David, Theo Somolu, Kelvin Harrison, Jr., Beyoncé, Aaron Pierre, Mads Mikkelsen, Blue Ivy Carter, Sheila Atim, Seth Rogen, Thuso Mbedu, AJ Beckles, Tiffany Boone","KPN, Sky Store, Neon TV, Fandango At Home, blue TV, Pathé Thuis, Rakuten TV, meJane, Videoload, Viaplay, UPC TV, Cineplex, TV 2 Play, Amazon Video, MagentaTV, Premiery Canal+, Timvision, Spectrum On Demand, maxdome Store, Magenta TV, SF Anytime, Google Play Movies, YouTube, Apple TV, Freenet meinVOD",7.463,1596
926670,Henry Danger: The Movie,2025-01-17,"['Action', 'Comedy', 'Family', 'Science Fiction']",en,"David Kaye, Lisa Chandler, Michael D. Cohen, Rachel Drance, Jaeson Lee, Rawleigh Clements-Willis, Jace Norman, Eric Mazimpaka, Will Erichson, Glee Dango, Nathaniel Shuker, Kelsey Andries, Shawn C. Orr, Jason William Day, Peter Chao, Dominique Mailloux, Zavien Garrett, Bruce Crawford, Ella Anderson, Liam Ma, Daran Norris, Ajay Musodi, Frankie Grande, Dimitry Tsoy, Michael Briganti, Cooper Barnes, Sean Ryan Fox, Darryl Quon, Matt Kennedy, Trevor Devall, Breeze Dango, Angelique Maingot, Sam Smith, Andre Tricoteux, Ben Comin, Ryan McEwen","Amazon Video, fuboTV, Movistar Plus+ Ficción Total , Paramount Plus Premium, Paramount Plus Basic with Ads, Google Play Movies, Paramount+ Roku Premium Channel, Go3, Cineplex, Fandango At Home, Paramount Plus, Claro video, Movistar Plus+, YouTube, Paramount+ Amazon Channel, StackTV Amazon Channel, Claro tv+, Apple TV",8.1,165
1160956,Panda Plan,2024-10-01,"['Action', 'Comedy']",zh,"Jia Bing, Shi Ce, Huang Yuntong, Wei Xiang, Danny Ray, Han Yanbo, Aleksandra Smirnova-Kosheleva, Andy Friend, Ivan Ponomarenko, Xu Juncong, Temur Mamisashvili, Jackie Chan","Amazon Video, Google Play Movies, Fandango At Home, Spectrum On Demand, YouTube, Apple TV",7.0,152
