movie_id,author,user_rating
950396,Manuel São Bento,7.0
950396,Yohan Yukiya Sese Cuneta 사요한,9.0
950396,Chandler Danier,5.0
950396,RalphRahal,7.0
950396,MovieGuys,7.0
1126166,r96sk,7.0
1126166,CinemaSerf,6.0
1126166,No,
1126166,RalphRahal,3.0
1126166,Manuel São Bento,1.0
1064213,Brent Marchant,6.0
1064213,CinemaSerf,7.0
1064213,RalphRahal,7.0
1064213,r96sk,10.0
762509,r96sk,8.0
762509,CinemaSerf,6.0
762509,Dean,10.0
1241982,CinemaSerf,7.0
1241982,Aless Saulea,9.0
939243,CinemaSerf,6.0
939243,Chandler Danier,8.0
939243,kaiserimpaxct908,
822119,r96sk,6.0
822119,CinemaSerf,6.0
822119,Manuel São Bento,7.0
823219,Manuel São Bento,8.0
823219,Pontus Kjällman,5.0
823219,Brent Marchant,8.0
927342,moviepoptime,
696506,Manuel São Bento,7.0
696506,Brent Marchant,9.0
696506,CinemaSerf,6.0
696506,r96sk,10.0
926670,pcmv,1.0
926670,CinemaSerf,5.0
1084199,Manuel São Bento,7.0
1084199,r96sk,9.0
1084199,CinemaSerf,7.0
1084199,RalphRahal,7.0
912649,r96sk,7.0
912649,Mangoturtle,2.0
912649,CinemaSerf,6.0
912649,TurkBinge,
912649,Chandler Danier,9.0
912649,MovieGuys,6.0
912649,watchnrant,
539972,r96sk,4.0
539972,CinemaSerf,6.0
539972,Chandler Danier,6.0
539972,jafranklin77,
539972,MovieGuys,6.0
539972,Dornail,7.0
558449,Manuel São Bento,8.0
558449,Dean,1.0
558449,griggs79,8.0
558449,r96sk,9.0
558449,CinemaSerf,6.0
558449,DWP,7.0
558449,Chris Sawin,5.0
558449,GenerationofSwine,1.0
558449,MovieGuys,5.0
558449,Elif Duru Alaca,9.0
558449,Chandler Danier,4.0
558449,RalphRahal,5.0
558449,FerdinandoLM,4.0
933260,Manuel São Bento,8.0
933260,good.film,
933260,griggs79,10.0
933260,Brent Marchant,4.0
933260,CinemaSerf,7.0
933260,r96sk,9.0
933260,badelf,9.0
933260,VicSur,9.0
933260,MovieGuys,7.0
933260,RalphRahal,2.0
933260,kodkuce,1.0
933260,FerdinandoLM,
1064486,good.film,
1064486,Chris Sawin,9.0
1064486,CinemaSerf,7.0
774370,CinemaSerf,7.0
774370,Horseface,7.0
1226406,r96sk,8.0
1226406,Chris Sawin,2.0
1226406,CinemaSerf,5.0
1226406,RalphRahal,1.0
1226406,Manuel São Bento,3.0
1140535,r96sk,7.0
1140535,CinemaSerf,6.0
1140535,Manuel São Bento,8.0
1140535,Brent Marchant,4.0
1140535,Chris Sawin,5.0
1140535,RalphRahal,6.0
1140535,Dean,5.0
1357633,CinemaSerf,7.0
549509,Brent Marchant,8.0
549509,CinemaSerf,7.0
549509,Chandler Danier,8.0
549509,Manuel São Bento,7.0
549509,r96sk,10.0
974576,Brent Marchant,6.0
974576,Manuel São Bento,9.0
974576,r96sk,8.0
974576,CinemaSerf,7.0
974576,Shelbyq96,9.0
974576,TheRealMina,1.0
402431,Chris Sawin,2.0
402431,Almando,10.0
402431,CinemaSerf,7.0
402431,Brent Marchant,10.0
402431,r96sk,8.0
402431,good.film,
