adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/9nhjGaFLKtddDPtPaX5EmKqsWdH.jpg,"[10749, 878, 53]",950396,en,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",27.269,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,2025-02-13,The Gorge,False,7.773,1918
False,/gFFqWsjLjRfipKzlzaYPD097FNC.jpg,"[28, 53, 80]",1126166,en,Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",25.919,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,2025-01-22,Flight Risk,False,6.122,474
False,/gKqeUlwYiZBDbFU5gT0ev7W3Vzs.jpg,"[53, 35, 27]",1013482,en,Borderline,A helplessly romantic sociopath escapes from a mental institution and invades the home of a '90s pop superstar. He just wants to be loved; she just wants to survive.,25.005,/z2yAWt1aAvhxap9mdjlQhXiEJT4.jpg,2025-03-14,Borderline,False,5.8,14
False,/o4onk5Khih3vnZeHI2Rf2zyMWN6.jpg,"[28, 80, 53]",1149167,en,High Rollers,"Mason, a master thief, lives a dream life of riches with his crew and girlfriend Decker. When nemesis Salazar kidnaps Decker, Mason must attempt a high-stakes casino heist to save her, all while evading Salazar’s rivals and the FBI.",24.013,/hHowAaChDjwueySmwVbsjHmpWa.jpg,2025-03-14,High Rollers,False,7.625,8
False,/4HnBkc45h6ABO9i6rbPHTqlKUu8.jpg,"[18, 80]",1013601,en,The Alto Knights,"Two of New York's most notorious organized crime bosses, Frank Costello and Vito Genovese, vie for control of the city's streets. Once the best of friends, petty jealousies and a series of betrayals place them on a deadly collision course that will reshape the Mafia (and America) forever.",23.418,/95KmR0xNuZZ6DNESDwLKWGIBvMg.jpg,2025-03-14,The Alto Knights,False,5.5,4
False,/zBKbtf2M7wyThxjrqFO9QGCv5MP.jpg,[35],1417677,en,Bill Burr: Drop Dead Years,"In what might be his most personal and introspective hour yet, Bill offers hilarious takes on everything from male sadness to dating advice.",23.195,/dlH5f6BXK8C0m1OV6ExsGit8l8e.jpg,2025-03-14,Bill Burr: Drop Dead Years,False,7.6,5
False,/a4H5TFw7p7hCzED5zKuNzjBbi5h.jpg,"[18, 10402]",607141,hi,Be Happy,"A dance-drama film that follows a single father and his witty, wise-beyond-her-years daughter. When his daughter's dream of performing in the country's biggest dance reality show collides with a life-altering crisis, the father is driven to do the unthinkable, showcasing the extraordinary lengths he will go to fulfill her wishes and find happiness.",23.045,/ugMPpC7EkY5caAZU4pAl2CYdfP0.jpg,2025-03-14,Be Happy,False,6.5,4
False,/iYVTjTqGraQFr2mh3o4UB07LwYu.jpg,"[10749, 35, 18]",1291321,ta,ஸ்வீட் ஹார்ட்,"Vasu, a gifted animator with a troubled past, is forced to face his commitment issues when his partner Manu reveals her pregnancy.",22.77,/bHxP4Mdgc6RwFZi7b1JDPXDus8j.jpg,2025-03-14,Sweet Heart,False,4.0,1
False,,[99],1294376,en,Meanwhile,"A groundbreaking, immersive, nonlinear cinematic journey where artists' expressions blend with historical and real-life footage, unveils the profound impact of white supremacy on our human connections. Led by a dynamic team including Jacqueline Woodson, Catherine Gund, Erika Dilday, Meshell Ndegeocello, and M. Trevino, this collaborative masterpiece weaves together diverse visions, poignantly revealing how race, racism, and resistance shape our shared breath, not just in moments of crisis, but in the enduring, pervasive legacy of that risk.",22.759,/6WTtDN2llm2laub4CSXuvAcr3zi.jpg,2025-03-14,Meanwhile,False,0.0,0
False,,[],1144417,bn,অলক্ষ্যে ঋত্বিক,The biopic will see Silajit portraying Ritwik Ghatak from 35 to 50.,22.718,/n1C9Gb7Pva1Au07C19xRxfKnJI6.jpg,2025-03-14,Alakshye Ritwik,False,0.0,0
